106	NC_014145	410692076 410692085 410692086 410692091 410692092 410692335 410692368 410692439 410692440 410692442 410692444 410692482 410692486 410692524 410692588 410692640 410692641 410692760 410692798 410692878 410692879 410692882 410692902 410693007 410693061 410693204 410693205 410693206 410693212 410693214 410693221 410693226 410693267 410693268 410693273 410693277 410693278 410693282 410693283 410693325 410693332 410693333 410693357 410693364 410693365 410693366 410693595 410693621 410693622 410693761 410693786 410693801 410693803 410693847 410693860 410693862 410693863 410693864 410693866 410693876 410693877 410693878 410693882 410693883 410693884 410693896 410694070 410694071 410694144 410694152 410694153 410694186 410694187 410694200 410694342 410694349 410694350 410694351 410694378 410694524 410694594 410694635 410694639 410694664 410694669 410694736 410694826 410694835 410694837 410694839 410694878 410694879 410694884 410694944 410694968 410695001 410695143 410695214 410695216 410695325 410695326 410695337 410695414 410695428 410695430 410695459
3	NC_014144	296112170 296112173 296112186
10	NC_014147	296112491 296112871 296112898 296113698 296113731 296113851 296113852 296113963 296114058 296114100
15	NC_019394	410863820 410863838 410863877 410863884 410863885 410863887 410863888 410863906 410863907 410863908 410863967 410864004 410864020 410864021 410864031
81	NC_019393	410859809 410859810 410859812 410859820 410859821 410859851 410859973 410860013 410860014 410860015 410860016 410860018 410860020 410860021 410860023 410860218 410860219 410860226 410860227 410860234 410860389 410860510 410860511 410860516 410860517 410860523 410860525 410860526 410860527 410860528 410860529 410860794 410860862 410861026 410861028 410861336 410861346 410861527 410861529 410861530 410861608 410861609 410861624 410861626 410861629 410861630 410861639 410861640 410861656 410861734 410861792 410861842 410861905 410862070 410862102 410862105 410862107 410862454 410862458 410862460 410862560 410862575 410862581 410862726 410862825 410862830 410862838 410862840 410862931 410862934 410862962 410862965 410863161 410863162 410863165 410863228 410863460 410863620 410863636 410863654 410863655
2	NC_019392	410858955 410858956
63	NC_008146	108797027 108797355 108797602 108797813 108797816 108797820 108797903 108797904 108797911 108798008 108798025 108798092 108798093 108798226 108798244 108798390 108798393 108798427 108798436 108798446 108798479 108798480 108798481 108798538 108798586 108798596 108798597 108798608 108798621 108798647 108798656 108798661 108798676 108798699 108798953 108798958 108799292 108799383 108799513 108799561 108799562 108799567 108799889 108799908 108800131 108800144 108800145 108800146 108800156 108800157 108800468 108800484 108800685 108800781 108800901 108801001 108801130 108801259 108801629 108801791 108801809 108801889 108802323
24	NC_008147	108802388 108802389 108802390 108802391 108802393 108802394 108802419 108802465 108802481 108802532 108802536 108802537 108802538 108802540 108802542 108802544 108802547 108802549 108802550 108802562 108802563 108802564 108802566 108802567
31	NC_008148	108803190 108803368 108803420 108803829 108803881 108804098 108804268 108804429 108804622 108804688 108804706 108804711 108804742 108804749 108805035 108805040 108805041 108805086 108805091 108805287 108805288 108805302 108805303 108805309 108805310 108805311 108805320 108805823 108805824 108805834 108805851
196	NC_008149	108810204 108810254 108810276 108810287 108810320 108810356 108810357 108810367 108810375 108810376 108810387 108810404 108810411 108810422 108810423 108810424 108810517 108810525 108810569 108810574 108810598 108810599 108810617 108810719 108810761 108810777 108810815 108810816 108810819 108810820 108810821 108810837 108810929 108810961 108810962 108810963 108810972 108810981 108811065 108811066 108811075 108811084 108811085 108811156 108811157 108811177 108811183 108811188 108811196 108811197 108811207 108811220 108811278 108811288 108811289 108811290 108811292 108811374 108811384 108811391 108811392 108811432 108811438 108811475 108811488 108811549 108811560 108811601 108811602 108811611 108811612 108811631 108811652 108811673 108811723 108811724 108811725 108811739 108811755 108811768 108811799 108811806 108811807 108811824 108811895 108811933 108811935 108811965 108811976 108812011 108812012 108812013 108812063 108812064 108812065 108812101 108812102 108812171 108812182 108812189 108812201 108812206 108812273 108812274 108812325 108812326 108812386 108812387 108812398 108812401 108812402 108812411 108812412 108812417 108812440 108812491 108812553 108812555 108812557 108812580 108812620 108812624 108812646 108812692 108812706 108812711 108812712 108812714 108812732 108812759 108812760 108812763 108812772 108812874 108812914 108812965 108812967 108812968 108812972 108812988 108812997 108813058 108813059 108813064 108813072 108813073 108813121 108813126 108813189 108813190 108813191 108813246 108813251 108813282 108813294 108813320 108813322 108813323 108813327 108813338 108813355 108813379 108813380 108813395 108813418 108813439 108813445 108813446 108813493 108813580 108813581 108813582 108813583 108813585 108813586 108813592 108813609 108813688 108813741 108813777 108813817 108813818 108813837 108813840 108813854 108813859 108813896 108813915 108813933 108813935 108813979 108813980 108814023 108814103 108814104 108814110
